BL CORN FLOUR 1KG,FLOUR,GENERAL,GST 0%,34,34,0,1000,950,BAG,25,MANI BAJI SHOP,1106,0
BL GRAM FLOUR 500GM,FLOUR,GENERAL,GST 0%,38.5,38.5,45,1600,1550,BAG,40,BHAGYALAKSHMI,1106,0
BL GRAM FLOUR GLOBE 10KG,FLOUR,GENERAL,GST 0%,750,750,0,2500,2350,BOX,3,BHAGYALAKSHMI,1106,0
BL GRAM FLOUR SBL 10KG,FLOUR,BHAGYALAKSHMI,GST 0%,620,620,700,1950,1920,BOX,3,BHAGYALAKSHMI,1101,0
BL GRAM FLOUR TIGER 10KG,FLOUR,GENERAL,GST 0%,560,570,0,1950,1900,BOX,3,BHAGYALAKSHMI,1106,0
BL MAIDA 1KG,FLOUR,GENERAL,GST 0%,30.5,31,0,650,630,BOX,40,BHAGYALAKSHMI,1106,0
BL MAIDA 500GM,FLOUR,GENERAL,GST 0%,15.25,15.25,0,650,630,BAG,40,BHAGYALAKSHMI,1106,0
BL MASSOR GOLA 30KG,DALL,GENERAL,GST 0%,2150,2150,0,2300,2250,BAG,30,CASH BILL,713,0
BL RAGI FLOUR 1KG,FLOUR,GENERAL,GST 0%,31.25,32,45,650,640,BOX,20,MANI BAJI SHOP,1106,0
BL RAGI FLOUR 500GM,FLOUR,GENERAL,GST 0%,15.65,16,0,650,640,BOX,40,BHAGYALAKSHMI,1106,0
BL RICE FLAKS 30KG,DALL,GENERAL,GST 0%,1000,1000,0,1200,1150,BAG,30,CASH BILL,713,0
BL RICE FLOUR 1KG,FLOUR,GENERAL,GST 0%,34,35,0,720,700,BOX,20,BHAGYALAKSHMI,1106,0
BL ROASTED SOOJI 1KG,DALL,GENERAL,GST 0%,35,35,50,940,920,BOX,20,BHAGYALAKSHMI,713,0
BL ROASTED SOOJI 500GM,DALL,GENERAL,GST 0%,21,21,28,940,920,BOX,40,BHAGYALAKSHMI,713,0
BL SOOJI 500GM,FLOUR,GENERAL,GST 0%,21,21,25,880,22,PKT,40,CASH BILL,,0
BL THICK RICE FLAKS 500GM,DALL,GENERAL,GST 0%,25.5,26.5,0,1100,1080,BOX,40,BHAGYALAKSHMI,1106,0
BL THIN RICE FLAKS 500GM,DALL,GENERAL,GST 0%,28,28,0,1200,1150,BOX,40,BHAGYALAKSHMI,1106,0
BLACK JEERA,SPICES,GENERAL,GST 18%,280,310,10,340,320,KGS,1,CASH BILL,,0
BLACK JEERA 10 NO,10 SHEET,GENERAL,GST 18%,5.5,6.49,10,9,8,PKT,1,CASH BILL,9083190,0
BLACK STONE AGARBATTI,POOJA ITEMS,GENERAL,GST 0%,40,40,55,300,270,BUNDAL,6,MANI BAJI SHOP,,0
BLACK TILL,SPICES,GENERAL,GST 18%,120,141.6,0,160,150,KGS,1,MANI BAJI SHOP,,0
BOOST 5/-,BEVERAGES,NESTLE,GST 18%,4,4.72,5,75,72,SHEETS,15,,,0
BOOST BISCUIT 10/-,BISCUITS,NESTLE,GST 18%,7.7,8.81,10,115,110,BUNDAL,12,R K AGENCIES,19053100,0
BOUNCE CHOCO 5/-,BISCUITS,ITC,GST 18%,3.89,4.45,5,60,57,BUNDLE,12,SHREE SHANER AGANICES,1905,0
BOUNCE ELAICHI 5/-,BISCUITS,ITC,GST 18%,3.88,4.44,5,60,57,BUNDLE,12,SHREE SHANER AGANICES,1905,0
BOUNCE ORANGE 5/-,BISCUITS,ITC,GST 18%,3.88,4.44,5,60,57,BUNDLE,12,SHREE SHANER AGANICES,1905,0
BOUNCE PINEAPPLE 5/-,BISCUITS,ITC,GST 18%,3.88,4.44,5,60,57,BUNDLE,12,SHREE SHANER AGANICES,1905,0
BROKANE 8800 25KG,HALF BOILED,GENERAL,GST 0%,16,16,0,450,430,KGS,25,,1006,0
BROKANE KALKI 25KG,HALF BOILED,GENERAL,GST 0%,20,20,0,550,500,KGS,25,MANI BAJI SHOP,1006,0
