HAND COVER 13X16,COVER,GST 5%,GST 5%,17,17.85,36,200,190,BUNDAL,3926
HAND COVER 16X20,COVER,GST 5%,GST 5%,36,37.8,48,200,190,BUNDAL,3926
HAND COVER 9X13,COVER,GST 5%,GST 5%,7,7.35,20,100,90,BUNDAL,3926
HAPPY CHOCOLATE 10GM,BISCUITS,GST 18%,GST 18%,3.78,4.37,5,60,58,BUNDAL,19059020
HATSUN 10/-,GHEE,GST 5%,GST 5%,160,168,10,200,180,SHEETS,0405
HIDE & SEEK 10/-,BISCUITS,GST 18%,GST 18%,7.57,8.75,10,120,108,BUNDLE,19059020
HIDE & SEEK 20GM,BISCUITS,GST 18%,GST 18%,22.7,26.25,30,360,336,BUNDLE,19059020
HIFI BUTTER 36G,BISCUITS,GST 18%,GST 18%,3.81,4.5,5,60,58,BUNDLE,1905
HIFI CASHEW 36G,BISCUITS,GST 18%,GST 18%,3.81,4.5,5,60,58,BUNDLE,1905
HIRA ZEERA 25KG,RAW RICE,GST 0%,GST 0%,1080,1080,3200,1350,1300,BAG,1006
HORSE GRAM 25KG,DALL,GST 0%,GST 0%,975,975,0,1000,990,BAG,0713
ICE SPL CHAKKI ATTA 50KG,FLOUR,GST 0%,GST 0%,1275,1275,3500,1350,1290,BAG,1106
IDLY RICE 25KG,FULL BOILED,GST 0%,GST 0%,28,28,36,750,720,BAG,1006
JAGGERY BIG 30KG,SUGAR,GST 18%,GST 18%,1450,1711,0,1550,1500,BAG,17011490
JAGGERY SMALL  A 30KG,SUGAR,GST 18%,GST 18%,1320,1557.6,0,1350,1330,BAG,17011490
JAGGERY SMALL 30KG,SUGAR,GST 18%,GST 18%,1320,1557.6,0,1350,1330,BAG,
JAGGREY SMALL B 30KG,SUGAR,GST 18%,GST 18%,1270,1498.6,0,1300,1270,BAG,17011490
JAKAI,SPICES,GST 18%,GST 18%,700,826,0,950,900,KGS,1207
JAPATHRI,SPICES,GST 18%,GST 18%,2400,2832,0,3000,2900,KGS,1207
JASMINE 25KG,FULL BOILED,GST 0%,GST 0%,47.6,47.6,55,1250,0,KGS,1006
JEERA,SPICES,GST 18%,GST 18%,150,177,0,250,220,KGS,
JEERA 1KG,SPICES,GST 0%,GST 0%,210,210,0,240,230,PKT,1207
JEERA 5/-,AMAR,GST 0%,GST 0%,190,190,0,240,230,BUNDAL,0909
JEERA 50GM,SPICES,GST 0%,GST 0%,10,10,18,15,11,BUNDAL,1207
JVS GN 1LTR,GROUND NUT OIL,GST 5%,GST 5%,158,165.9,0,1750,1700,PKT,1508
JVS SF 1LTR,REFINED OIL,GST 5%,GST 5%,114.286,120,1450,1230,1220,PKT,1512
JVS TIN 15LTR,REFINED OIL,GST 5%,GST 5%,1828.57,1920,2600,2100,2050,TIN,1512
KALKI BULLET 25KG,HALF BOILED,GST 0%,GST 0%,38,38,0,980,960,KGS,1006
KARAMANI 25KG,DALL,GST 0%,GST 0%,1500,1500,0,1900,1800,BAG,0713
KB CHAKKI ATTA 2KG,FLOUR,GST 0%,GST 0%,600,600,0,650,620,BAG,1106
KB CHAKKI ATTA 5KG,FLOUR,GST 0%,GST 0%,840,840,0,950,900,BAG,1106
KESARI CHAKKI ATTA 5KG,FLOUR,GST 0%,GST 0%,900,900,0,980,950,BAG,1106
KESHAR KALI 25K,RAW RICE,GST 5%,GST 5%,1342,1409.1,3500,1600,1550,BAG,1006
KRACKJACK SWEET SALT,BISCUITS,GST 18%,GST 18%,22.7,26.25,30,30,28,NOS,19059020
KRACKJACK SWEET SALTY 13GM,BISCUITS,GST 18%,GST 18%,3.78,4.37,5,60,58,BUNDAL,19059020
KRACKJACK SWEET SALTY 28GM,BISCUITS,GST 18%,GST 18%,7.57,8.75,10,10,9.2,NOS,19059020
